//TESTBENCH   waveType{0:sine,1:balancedSqr,2:unblncdSqr,3:sawtooth,4:fSaw,5:bSaw}			intonationTypeID{0:Pythagorean, 1:5Limit, 2:EqualTemperament}
//ENTIRE_AUDIO_LENGTH_MAX_SECONDS    samplingRateHz    baseFrequencyHz                                                                                                3#s
//intonationTypeID musicalPitchInterval   numSamplesUsedForCurrNote   waveType   waveDuration_IncreasingOrOn   waveDuration_DecreasingOrOff    6#s THIS_LINE_FOR_EACH_NOTE
70                                   50000             440
2                  10                     25000                       2          25                            55
2                  11                     25000                       2          25                            55
2                  12                     25000                       2          25                            55
2                  13                     25000                       2          25                            55
2                  15                     25000                       0          100                           100                           0
0                  1                      25000                       3          25                            55
0                  2                      25000                       3          25                            55
0                  3                      25000                       3          25                            55
0                  4                      25000                       3          25                            55
0                  5                      25000                       3          25                            55
0                  6                      25000                       3          25                            55
0                  7                      25000                       3          25                            55
0                  8                      25000                       3          25                            55
0                  9                      25000                       3          25                            55
0                  10                     25000                       3          25                            55
0                  11                     25000                       3          25                            55
0                  12                     25000                       3          25                            55
0                  13                     25000                       3          25                            55
1                  1                      25000                       3          25                            55
1                  2                      25000                       3          25                            55
1                  3                      25000                       3          25                            55
1                  4                      25000                       3          25                            55
1                  5                      25000                       3          25                            55
1                  6                      25000                       3          25                            55
1                  7                      25000                       3          25                            55
1                  8                      25000                       3          25                            55
1                  9                      25000                       3          25                            55
1                  10                     25000                       3          25                            55
1                  11                     25000                       3          25                            55
1                  12                     25000                       3          25                            55
1                  13                     25000                       3          25                            55
2                  1                      25000                       3          25                            55
2                  2                      25000                       3          25                            55
2                  3                      25000                       3          25                            55
2                  4                      25000                       3          25                            55
2                  5                      25000                       3          25                            55
2                  6                      25000                       3          25                            55
2                  7                      25000                       3          25                            55
2                  8                      25000                       3          25                            55
2                  9                      25000                       3          25                            55
2                  10                     25000                       3          25                            55
2                  11                     25000                       3          25                            55
2                  12                     25000                       3          25                            55
2                  13                     25000                       3          25                            55
2                  15                     25000                       0          100                           100                           0
